age,totalAssets,nisa,ideco,tax,cash,income,expense,cashFlow,baseExp,fireLine25x
35,1122,387,0,535,200.47000000000003,610,544,66,240,6000
36,1249,480.09000000000003,0,572.45,196.1400000000001,610,548,62,245,6125
37,1379,579.6963000000001,0,612.5215000000001,186.9140000000001,610,553,57,250,6250
38,1514,686.2750410000001,0,655.398005,172.6940800000001,610,558,52,255,6375
39,1655,800.3142938700001,0,701.27586535,153.38036160000013,610,563,47,260,6500
40,1802,922.3362944409001,0,750.3651759245,128.87096883200013,610,569,41,265,6625
41,1955,1052.8998350517631,0,802.890738239215,99.06198820864017,610,574,36,270,6750
42,2116,1192.6028235053866,0,859.09308991596,63.847427972812966,610,579,31,276,6900
43,2284,1342.0850211507636,0,919.2296062100772,23.119176532269194,610,585,25,281,7025
44,2462,1478.7979326942318,0,983.5756786447827,0,610,590,20,287,7175
45,2839,1648.313787982828,0,1052.4259761499175,137.91133920125822,800,596,204,293,7325
46,3226,1829.695753141626,0,1316.0957944804118,79.97150518654166,800,602,198,298,7450
47,3638,2023.7744558615398,0,1598.2225000940407,16.06347449153077,800,608,192,304,7600
48,4078,2217.534293904867,0,1860.0703321502242,0,800,614,186,310,7750
49,4543,2419.1151178886926,0,2123.716928855166,0,800,620,180,317,7925
50,5034,2633.1737445820954,0,2401.118144236042,0,800,627,173,323,8075
51,5554,2860.5509630753604,0,2693.1427887382997,0,800,633,167,329,8225
52,6103,3102.145764553104,0,3000.71860928133,0,800,640,160,336,8400
53,6684,3358.9194033780395,0,3324.8363772064995,0,800,646,154,343,8575
54,7298,3631.8997421893446,0,3666.5542616294406,0,800,653,147,350,8750
55,8616,3627.351803497125,0,3643.3676693625025,1344.906557596141,0,357,-357,357,8925
56,8523,3618.370584304775,0,3614.6150899469167,1289.9775071849756,0,364,-364,364,9100
57,8420,3604.662432994186,0,3580.0405243284167,1235.6638881470128,0,371,-371,371,9275
58,8307,3585.916726244055,0,3539.381909454358,1181.9595526222113,0,378,-378,378,9450
59,8183,3561.8047268071423,0,3492.371374702174,1128.8576531087822,0,386,-386,386,9650
60,8047,3531.978328534461,0,3438.735596622492,1076.350623164445,0,394,-394,394,9850
61,7899,3496.0686701131585,0,3378.196274788552,1024.4301497954928,0,402,-402,402,10050
62,7737,3453.684594496949,0,3310.4707574635368,973.0871357383774,0,410,-410,410,10250
63,7562,3404.4109251050163,0,3235.2728536138743,922.311649326142,0,418,-418,418,10450
64,7372,3347.8065219985738,0,3152.3138782473416,872.0928589345375,0,426,-426,426,10650
65,7338,3356.3919930376323,0,3141.2079506802606,840.7012948050922,160,435,-275,435,10875
66,7295,3360.4427196677534,0,3124.7810196398264,809.3422225308518,160,443,-283,443,11075
67,7326,3396.644187634508,0,3142.9996420985794,786.597236783595,240,452,-212,452,11300
68,7350,3429.467278195987,0,3156.953831626858,763.6523375521227,240,461,-221,461,11525
69,7366,3458.636428431331,0,3166.3886198895657,740.5264823116814,240,471,-231,471,11775
70,7372,3483.860286266932,0,3171.0417851750426,717.2376410916534,240,480,-240,480,12000
71,7369,3504.8307394738904,0,3170.6438801026593,693.8028082049065,240,490,-250,490,12250
72,7356,3521.221868807999,0,3164.9183050454585,670.2380125984018,240,499,-259,499,12475
73,7333,3532.6888160270237,0,3153.5814373439325,646.5583264185115,240,509,-269,509,12725
74,7298,3538.866555793651,0,3136.342828536009,622.7778713243149,240,520,-280,520,13000
75,7251,3539.368558316278,0,3112.90548453244,598.9098220021212,240,530,-290,530,13250
76,7192,3533.785326861092,0,3082.9662470987164,574.9664062282546,240,541,-301,541,13525
77,7119,3521.6827908058926,0,3046.216299400757,550.9589006859842,240,551,-311,551,13775
78,7032,3502.600530446987,0,3002.3418240595447,526.8976215540569,240,562,-322,562,14050
79,6930,3476.049803961684,0,2951.0248495998903,502.79190863112285,240,574,-334,574,14350
80,6812,3441.511339266464,0,2891.9443310265133,478.65010141721075,240,585,-345,585,14625
81,6678,3398.4328432654365,0,2824.7775234663827,454.4795051033767,240,597,-357,597,14925
82,6526,3346.2261670811695,0,2749.2017257786983,430.28634376869456,240,609,-369,609,15225
83,6355,3284.26404668865,0,2664.8964958525335,406.075697166326,240,621,-381,621,15525
84,6165,3211.876311464211,0,2571.546474204085,381.8514161680648,240,633,-393,633,15825
85,5955,3128.345414645216,0,2468.8450024938343,357.6160100242565,240,646,-406,646,16150
86,5723,3032.9010833523175,0,2356.498796818331,333.3704957496574,240,659,-419,659,16475
87,5468,2924.7138013644517,0,2234.234045508609,309.114195607393,240,672,-432,672,16800
88,5190,2802.8867076822366,0,2101.804470608675,284.84446186851807,240,686,-446,686,17150
89,4886,2666.4452869342094,0,1959.002161826154,260.55629704660305,240,699,-459,699,17475
90,4556,2514.323886361103,0,1805.672436580523,236.24181941930846,240,713,-473,713,17825
