age,totalAssets,nisa,ideco,tax,cash,income,expense,cashFlow,baseExp,fireLine25x
35,1240,391,2,647,199.69,610,426,184,240,6000
36,1491,488.37,4.140000000000001,804.29,194.57999999999998,610,431,179,245,6125
37,1756,592.5559000000001,6.4298,972.5903,184.574,610,436,174,250,6250
38,2035,704.0348130000001,8.879885999999999,1152.671621,169.57407999999998,610,441,169,255,6375
39,2330,823.3172499100001,11.501478019999999,1345.35863447,149.48036159999998,610,446,164,260,6500
40,2641,950.9494574037001,14.306581481399999,1551.5337388829,124.19096883199995,610,451,159,265,6625
41,2971,1087.515919421959,17.308042185097996,1772.141100604703,93.60198820863991,610,457,153,270,6750
42,3320,1233.6420337814961,20.519605138054857,2008.1909776470322,57.60742797281267,610,462,148,276,6900
43,3691,1389.996976146201,23.955977497718695,2260.7643460823247,16.09917653226887,610,468,142,281,7025
44,4085,1545.4907166742828,27.295580271068943,2512.128173824644,0,610,473,137,287,7175
45,4692,1723.6750668414827,31.20627089004377,2799.977145992369,137.13133920125824,800,479,321,293,7325
46,5326,1914.3323215203866,35.39070985234683,3297.975546211835,78.41150518654166,800,485,315,298,7450
47,6003,2118.3355840268136,39.86805954201111,3830.833834446664,13.723474491530737,800,491,309,304,7600
48,6725,2325.940871226293,44.3537321761691,4354.92338125673,0,800,497,303,310,7750
49,7493,2544.3477931226785,49.046809454516506,4899.603737873051,0,800,503,297,317,7925
50,8308,2776.857785475904,54.03453316875089,5477.297504439317,0,800,509,291,323,8075
51,9174,3024.4343549364307,59.336851189912394,6090.21333535176,0,800,516,284,329,8225
52,10094,3288.107979454621,64.97509419242454,6740.7124451283435,0,800,522,278,336,8400
53,11071,3568.980786788419,70.97207217937925,7431.3192467035615,0,800,529,271,343,8575
54,12110,3868.2315603169054,77.35217775917285,8164.732733585606,0,800,536,264,350,8750
55,13412,3865.9894464383897,80.44626486953976,8119.447805023123,1345.8122730418586,0,543,-543,357,8925
56,13302,3860.4899742698453,83.66411546432136,8065.192732213164,1292.2094418390711,0,550,-550,364,9100
57,13180,3851.5139235662537,87.01068008289421,8001.581678577761,1239.620112636758,0,557,-557,371,9275
58,13046,3838.828823702277,90.49110728620998,7928.215556620788,1188.0167107082386,0,565,-565,378,9450
59,12898,3822.1880647510516,94.11075157765838,7844.681846352761,1137.3719546253462,0,572,-572,386,9650
60,12737,3801.3299243802317,97.87518164076471,7750.554472327389,1087.65882591937,0,580,-580,394,9850
61,12562,3775.976498299835,101.7901889063953,7645.393753238985,1038.8505335227496,0,588,-588,402,10050
62,12371,3745.83251943975,105.86179646265111,7528.746441314177,990.9204722017874,0,596,-596,410,10250
63,12165,3710.5840477877464,110.09626832115715,7400.145872926967,943.8421739606811,0,604,-604,418,10450
64,11941,3669.897008654045,114.50011905400343,7259.112257273937,897.5892510996184,0,613,-613,426,10650
65,11874,3675.0585240336354,111.141448895086,7223.874722450928,864.2804449479092,166,621,-455,435,10875
66,11796,3676.851816356278,107.33088493296877,7180.15151693296,831.4444055437891,166,630,-463,443,11075
67,11793,3700.27140193435,103.03764953565002,7185.140200878137,804.5579452712864,247,639,-392,452,11300
68,11780,3721.105542927634,98.22922589065301,7183.161754381218,777.9691896358634,247,648,-401,461,11525
69,11758,3739.150904799887,92.87126811479921,7173.85447300392,751.6749250620863,247,657,-410,471,11775
70,11930,3814.0626278851346,86.92750695545206,7292.124177264065,737.2445162507515,248,480,-232,480,12000
71,12100,3888.6567001060284,80.35965087437347,7407.832598882683,722.7531545352416,248,490,-242,490,12250
72,12265,3962.8338980732724,73.12728229567986,7520.740347415471,708.2114135507829,248,499,-251,499,12475
73,12426,4036.4886010238456,65.18774878929177,7630.598591618042,693.6293211257159,249,509,-260,509,12725
74,12582,4109.508433757424,56.49604895071954,7737.1487125122085,679.0163781366971,249,520,-270,520,13000
75,12733,4181.773889861739,47.004712726998655,7840.121948653094,664.3815768150127,250,530,-280,530,13250
76,12879,4253.157933904952,36.66367592705895,7939.239034074505,649.7334184822921,250,541,-290,541,13525
77,13017,4323.193747557769,25.42014864276087,8033.469385063921,635.0311878693102,250,551,-302,551,13775
78,13149,4392.0539631413585,13.218477294235653,8123.222326003394,620.3327127559529,250,562,-312,562,14050
79,13273,4459.585580411466,0,8208.183927475222,605.6450607427729,251,574,-323,574,14350
80,13392,4521.823937012531,0,8279.618270979943,590.4783604327384,240,585,-345,585,14625
81,13502,4582.022097713233,0,8344.839941938711,575.3262343768296,240,597,-357,597,14925
82,13604,4639.970131333481,0,8403.453596530588,560.194504646702,240,609,-369,609,15225
83,13696,4695.445184726953,0,8455.048729371127,545.0885945097166,240,621,-381,621,15525
84,13777,4748.210716037328,0,8499.199236398747,530.0135400897663,240,633,-393,633,15825
85,13848,4798.0156756814495,0,8535.462985882137,514.9740011709442,240,646,-406,646,16150
86,13908,4844.593630183638,0,8563.381401394456,499.97427110014485,240,659,-419,659,16475
87,13955,4887.66182333441,0,8582.4790613278,485.01828573648515,240,672,-432,672,16800
88,13989,4926.920168378151,0,8592.263320395392,470.1096313851806,240,686,-446,686,17150
89,14010,4962.050164021207,0,8592.223959622634,455.25155164074124,240,699,-459,699,17475
90,14015,4992.713725960636,0,8581.832872604547,440.4469530484957,240,713,-473,713,17825
